Bot,TP_mult,SL_mult,TP_pct,SL_pct,Leverage,PF,Return,MDD,WR,Sharpe,Trades,AvgHold_d
meanrevert,1.2,1.0,7.2,3.0,15,2.71,14526.2,-50.2,55.4,1.15,808,1.1
meanrevert,1.2,1.0,7.2,3.0,20,2.71,19410.7,-61.7,55.4,0.99,808,1.1
meanrevert,1.2,1.2,7.2,3.6,3,2.35,2503.2,-31.5,56.1,1.31,804,1.1
meanrevert,1.2,1.2,7.2,3.6,5,2.34,4286.2,-50.6,56.1,1.13,804,1.1
meanrevert,1.2,1.2,7.2,3.6,7,2.34,6072.1,-47.5,56.1,1.18,804,1.1
meanrevert,1.2,1.2,7.2,3.6,10,2.33,8743.5,-51.2,56.1,1.16,804,1.1
meanrevert,1.2,1.2,7.2,3.6,15,2.34,13203.0,-53.4,56.1,1.12,804,1.1
meanrevert,1.2,1.2,7.2,3.6,20,2.34,17665.1,-65.2,56.1,1.01,804,1.1
meanrevert,1.2,1.4,7.2,4.2,3,2.1,2271.1,-31.5,56.9,1.25,798,1.1
meanrevert,1.2,1.4,7.2,4.2,5,2.09,3902.5,-52.3,56.9,1.08,798,1.1
meanrevert,1.2,1.4,7.2,4.2,7,2.09,5537.5,-56.3,56.9,1.08,798,1.1
meanrevert,1.2,1.4,7.2,4.2,10,2.09,7969.0,-55.9,56.9,1.1,798,1.1
meanrevert,1.2,1.4,7.2,4.2,15,2.09,12054.3,-66.9,56.9,1.08,798,1.1
meanrevert,1.2,1.4,7.2,4.2,20,2.09,16114.9,-68.6,56.9,1.03,798,1.1
meanrevert,1.4,0.6,8.4,1.8,3,4.14,3603.7,-31.2,50.2,1.53,814,1.1
meanrevert,1.4,0.6,8.4,1.8,5,4.12,6117.3,-36.8,50.2,1.45,814,1.1
meanrevert,1.4,0.6,8.4,1.8,7,4.11,8629.8,-35.5,50.2,1.4,814,1.1
meanrevert,1.4,0.6,8.4,1.8,10,4.12,12401.3,-40.0,50.2,1.35,814,1.1
