id,portfolio_id,mode,bot_name,symbol,side,leverage,amount,entry_price,entry_time,exit_price,exit_time,tp_price,sl_price,funding_rate,status,exit_reason,pnl_pct,pnl_amount,fee_amount,exchange_order_id,metadata,created_at,trade_serial
199,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,49701.78926441352,0.002012,2026-03-15T03:52:53.078456,0.0019918799999999997,2026-03-15T04:32:39.845413,0.00207236,0.0019918799999999997,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 18:52:53,
200,,paper,levburn_sec,COS_USDT,long,10.0,98619.32938856016,0.002028,2026-03-15T04:11:16.648574,0.00201786,2026-03-15T04:16:46.735720,0.0020584199999999996,0.00201786,,closed,SL,-7.2,-14.4,0.44,,,2026-03-14 19:11:16,
201,,paper,levburn_sec_fr_extreme,COS_USDT,long,10.0,147928.99408284025,0.002028,2026-03-15T04:11:17.688019,0.002011776,2026-03-15T04:20:34.421724,0.00206856,0.002011776,,closed,SL,-10.2,-30.6,0.66,,,2026-03-14 19:11:17,
202,,paper,levburn_sec_lev1,COS_USDT,long,1.0,98619.32938856016,0.002028,2026-03-15T04:11:18.162703,0.00201786,2026-03-15T04:16:46.747385,0.0020584199999999996,0.00201786,,closed,SL,-0.72,-1.44,0.44,,,2026-03-14 19:11:18,
203,,paper,levburn_sec_fr_extreme_lev1,COS_USDT,long,1.0,147928.99408284025,0.002028,2026-03-15T04:11:18.629296,0.002011776,2026-03-15T04:20:34.433082,0.00206856,0.002011776,,closed,SL,-1.02,-3.06,0.66,,,2026-03-14 19:11:18,
204,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,49975.01249375312,0.002001,2026-03-15T04:33:52.262239,0.00206103,2026-03-15T04:55:33.434018,0.00206103,0.00198099,,closed,TP,19.46,19.46,0.22,,,2026-03-14 19:33:52,
205,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,49603.1746031746,0.002016,2026-03-15T04:34:38.314621,0.00207648,2026-03-15T04:55:33.443491,0.00207648,0.00199584,,closed,TP,2.78,2.78,0.22,,,2026-03-14 19:34:38,
206,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,49751.24378109453,0.00201,2026-03-15T04:36:09.528646,0.0020703,2026-03-15T04:55:33.452591,0.0020703,0.0019899,,closed,TP,8.34,8.34,0.22,,,2026-03-14 19:36:09,
207,,paper,levburn_sec,RESOLV_USDT,long,10.0,2806.6236317709795,0.07126,2026-03-15T04:47:07.526784,0.0709037,2026-03-15T04:55:33.462299,0.0723289,0.0709037,,closed,SL,-7.2,-14.4,0.44,,,2026-03-14 19:47:07,
208,,paper,levburn_sec_fr_extreme,RESOLV_USDT,long,10.0,4209.9354476564695,0.07126,2026-03-15T04:47:08.527339,0.07068992,2026-03-15T05:01:59.712835,0.0726852,0.07068992,,closed,SL,-10.2,-30.6,0.66,,,2026-03-14 19:47:08,
209,,paper,levburn_sec_aggressive_lev1,RESOLV_USDT,long,1.0,1403.3118158854898,0.07126,2026-03-15T04:47:08.987250,0.07054740000000001,2026-03-15T05:04:38.029116,0.0733978,0.07054740000000001,,closed,SL,-1.22,-1.22,0.22,,,2026-03-14 19:47:08,
210,,paper,levburn_sec_aggressive_lev3,RESOLV_USDT,long,3.0,1403.3118158854898,0.07126,2026-03-15T04:47:09.448287,0.07054740000000001,2026-03-15T05:04:38.038195,0.0733978,0.07054740000000001,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 19:47:09,
211,,paper,levburn_sec_fr_extreme_lev3,RESOLV_USDT,long,3.0,4209.9354476564695,0.07126,2026-03-15T04:47:09.911035,0.07068992,2026-03-15T05:01:59.721382,0.0726852,0.07068992,,closed,SL,-3.06,-9.18,0.66,,,2026-03-14 19:47:09,
212,,paper,levburn_sec,COS_USDT,long,10.0,98039.2156862745,0.00204,2026-03-15T04:51:56.375043,0.0020706,2026-03-15T04:55:33.474720,0.0020706,0.0020298,,closed,TP,12.8,25.6,0.44,,,2026-03-14 19:51:56,
213,,paper,levburn_sec_fr_extreme,COS_USDT,long,10.0,145985.401459854,0.002055,2026-03-15T04:52:32.484827,0.00203856,2026-03-15T05:16:07.056584,0.0020961,0.00203856,,closed,SL,-10.2,-30.6,0.66,,,2026-03-14 19:52:32,
214,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,49261.08374384236,0.00203,2026-03-15T05:05:00.523665,0.0020097,2026-03-15T05:18:48.520160,0.0020909,0.0020097,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 20:05:00,
215,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,48899.7555012225,0.002045,2026-03-15T05:05:36.681107,0.00202455,2026-03-15T05:16:07.067461,0.00210635,0.00202455,,closed,SL,-1.22,-1.22,0.22,,,2026-03-14 20:05:36,
216,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,48638.13229571984,0.002056,2026-03-15T05:05:42.673427,0.00203544,2026-03-15T05:16:07.076645,0.0021176800000000003,0.00203544,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 20:05:42,
217,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,50479.55577990913,0.001981,2026-03-15T05:18:10.423843,0.0019611900000000002,2026-03-15T05:40:37.930657,0.00204043,0.0019611900000000002,,closed,SL,-1.22,-1.22,0.22,,,2026-03-14 20:18:10,
218,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,50000.0,0.002,2026-03-15T05:23:37.078746,0.00198,2026-03-15T05:40:37.940712,0.00206,0.00198,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 20:23:37,
219,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,50251.25628140703,0.00199,2026-03-15T05:24:23.215534,0.0019701,2026-03-15T05:40:37.953067,0.0020497000000000002,0.0019701,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 20:24:23,
220,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,51046.452271567134,0.001959,2026-03-15T05:43:43.490239,0.00201777,2026-03-15T05:55:25.275677,0.00201777,0.0019394099999999997,,closed,TP,19.46,19.46,0.22,,,2026-03-14 20:43:43,
221,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,51255.76627370579,0.001951,2026-03-15T05:45:54.843146,0.0020095300000000003,2026-03-15T05:52:41.073158,0.0020095300000000003,0.0019314900000000001,,closed,TP,2.78,2.78,0.22,,,2026-03-14 20:45:54,
222,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,51072.52298263534,0.001958,2026-03-15T05:45:55.859927,0.0020167400000000004,2026-03-15T05:55:25.285826,0.0020167400000000004,0.0019384200000000002,,closed,TP,8.34,8.34,0.22,,,2026-03-14 20:45:55,
223,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,49504.9504950495,0.00202,2026-03-15T05:54:17.630365,0.0019998,2026-03-15T06:27:21.371304,0.0020806,0.0019998,,closed,SL,-1.22,-1.22,0.22,,,2026-03-14 20:54:17,
